Product,Brand,Data collected,Method,Source type,Source URL,Source title,Relevant approval/specification,Evidence,Derived values,Conversion,Confidence
TotalEnergies QUARTZ 9000 5W-40,TotalEnergies,"Viscosity 5W-40; API SN,SM,SL/CF; ACEA A3/B4; OEM: VW 502.00/505.00,BMW LL-01,MB 229.3,Renault RN0700,VW 501.01/505.00",Official lubricants catalog + TDS (Scribd) + TotalEnergies services page,Official (TotalEnergies Catalog/Services) + TDS (Scribd),https://lubricants.catalog.totalenergies.com/catalog-za/en_ZA/714_quartz-9000-5w-40,QUARTZ 9000 5W-40 - TotalEnergies Official Catalog,VW 502.00/505.00; BMW LL-01; MB 229.3; Renault RN0700,TotalEnergies official catalog and services page confirm all specifications; Scribd TDS document available; Karhabtk.tn lists Total 10W-40 at 98 TND and 0W-30 at 217 TND for market context,DPFCompatible=No (ACEA A3/B4 high SAPS); TurboCompatible=Yes (BMW LL-01 and VW 502.00 cover turbo engines),None needed,HIGH
ELF EVOLUTION 900 NF 5W-40,ELF,"Viscosity 5W-40; API SN; ACEA A3/B4; OEM: Renault RN0700,RN0710",Official TotalEnergies catalog + TDS PDF (Vsichkimasla.bg) + Amazon UK listing,Official (TotalEnergies Catalog) + TDS PDF + Retailer (Amazon UK),https://lubricants.catalog.totalenergies.com/catalog-sg/en_SG/buq_evolution-900-nf-5w-40,ELF EVOLUTION 900 NF 5W-40 - TotalEnergies Official Catalog,Renault RN0700; Renault RN0710,TotalEnergies official catalog confirms ACEA A3/B4 and RN0700/RN0710; TDS PDF from Vsichkimasla.bg confirms API SN; Amazon UK listing cross-references; specific to Renault/Dacia applications,"DPFCompatible=No (A3/B4 high SAPS, RN0700/RN0710 are not DPF specs); TurboCompatible=Yes (RN0710 for turbo petrol and high-power diesel)",None needed,HIGH
ELF EVOLUTION 900 SXR 5W-40,ELF,"Viscosity 5W-40; API SP; ACEA A3/B4; OEM: MB 229.5,Renault RN0700,RN0710,Stellantis FPW9; Meets BMW LL-01",Official TotalEnergies catalog + TDS (Scribd),Official (TotalEnergies Catalog) + TDS (Scribd),https://lubricants.catalog.totalenergies.com/catalog-sg/en_SG/buq_evolution-900-nf-5w-40,ELF EVOLUTION 900 SXR 5W-40 - TotalEnergies/ELF Catalog,MB 229.5; Stellantis FPW9; Renault RN0700/RN0710; Meets BMW LL-01,TotalEnergies catalog confirms specifications; Scribd TDS document (BUV-042015-EN) confirms all approvals; Stellantis FPW9 is latest Stellantis spec; higher API SP vs NF variant,DPFCompatible=No (A3/B4 high SAPS despite MB 229.5); TurboCompatible=Yes (MB 229.5 and FPW9 cover turbo engines),None needed,HIGH
ELF EVOLUTION FULL-TECH PCX 5W-30,ELF,"Viscosity 5W-30; OEM: PSA B71 2290,PSA B71 2297; Anti-friction additives",Official TotalEnergies/ELF catalog (Belgium catalog page),Official (TotalEnergies/ELF Catalog),https://lubricants.catalog.totalenergies.com/catalogue-be-fr/en_UK/yyy_evolution-full-tech-pcx-5w-30,ELF EVOLUTION FULL-TECH PCX 5W-30 - ELF Official Catalog,PSA B71 2290; PSA B71 2297,ELF/TotalEnergies official catalog confirms PSA B71 2290 and B71 2297 approvals; product described as having anti-friction additives for Peugeot/Citroen engines including PureTech; ACEA/API not specified in catalog page found,DPFCompatible=Yes (PSA B71 2290 is low SAPS for DPF engines); TurboCompatible=Yes (PureTech engines are turbocharged),None needed,MEDIUM
ELF EVOLUTION FULL-TECH FE 5W-30,ELF,"Viscosity 5W-30; ACEA C3,C4; OEM: MB 226.51,MB 229.51,Renault RN0720; Meets FIAT 9.55535-S4",Official ELF catalog + TDS PDF (Filters.gr),Official (ELF Catalog) + TDS PDF (Filters.gr),https://lubricants.catalog.elf.com/corporate/en_UK/buz_evolution-full-tech-fe-5w-30,ELF EVOLUTION FULL-TECH FE 5W-30 - ELF Official Catalog,MB 229.51; Renault RN0720; FIAT 9.55535-S4,"ELF official catalog confirms all specifications; TDS PDF from Filters.gr confirms ACEA C3/C4, MB 226.51/229.51, and RN0720; RN0720 is Renault low SAPS for diesel with DPF; MB 229.51 is Mercedes low SAPS for DPF","DPFCompatible=Yes (ACEA C3/C4 low SAPS, RN0720 and MB 229.51 are DPF specs); TurboCompatible=Yes (modern diesel engines with DPF)",None needed,HIGH
Castrol EDGE 5W-30,Castrol,"Viscosity 5W-30; API SP; ACEA C3,A5/B5,C2; OEM: VW 504.00/507.00,BMW LL-04,MB 229.51,GM dexos2,Chrysler MS 6395","Multiple product pages + TDS PDFs (HascoOil, Petroleum Service, OilMag.ro)","TDS PDF (multiple sources) + Retailer (OilOnline, SCLubricants)",https://www.hascooil.com/wp-content/uploads/2016/10/EDGE-5W-30-C3-sds.pdf,Castrol EDGE 5W-30 C3 TDS/SDS,VW 504.00/507.00; BMW LL-04; MB 229.51; GM dexos2,Multiple TDS PDFs confirm ACEA C3 and all OEM approvals; OilOnline.store and SCLubricants confirm VW 504.00/507.00 LL variant; note: US variant has different specs (dexos1 Gen 3) vs EU variant (dexos2),"DPFCompatible=Yes (VW 504.00/507.00, MB 229.51, ACEA C3 all DPF-compatible); TurboCompatible=Yes; HybridCompatible=Yes (dexos2 covers GM hybrid applications)",None needed,HIGH
Castrol Magnatec Stop-Start 5W-30,Castrol,Viscosity 5W-30; ACEA C2; OEM: PSA B71 2290; Stop-Start technology,Retailer listing (Mecapro.fr) + vehicle recommendation cross-reference,Secondary (Mecapro.fr retailer) + Cross-reference (vehicle oil recommendations),https://mecapro.fr,Mecapro.fr - Castrol Magnatec Stop-Start listing,PSA B71 2290,Mecapro.fr lists product with PSA B71 2290 approval; Peugeot 2008 oil recommendation pages confirm this oil for 1.2 PureTech engines; no official Castrol TDS found in search results,DPFCompatible=Yes (PSA B71 2290 is low SAPS); TurboCompatible=Yes (PureTech engines); HybridCompatible=Yes (stop-start technology for micro-hybrid systems),None needed,MEDIUM
Yacco VX 1000 LL 0W-40,Yacco,"Viscosity 0W-40; API SN,CF; ACEA A3/B4; OEM: MB 229.5,Porsche A40,BMW LL-01 (until end 2018),FORD WSS-M2C937-A,Renault RN0710/RN0700,VW 502.00/505.00; Price 80 DT Tunisia","Official Yacco product page + TDS PDF (Yacco.com, Yacco-Bulgaria) + Tunisia retailer (BestOil.tn)",Official (Yacco.com) + TDS PDF + Retailer (BestOil.tn),https://www.yacco.com/en/our-products/automobile/vx-1000-ll-0w40-27,Yacco VX 1000 LL 0W-40 - Yacco Official,MB 229.5; Porsche A40; BMW LL-01; VW 502.00/505.00; Renault RN0700/RN0710; FORD WSS-M2C937-A,Yacco official page confirms all approvals; two independent TDS PDFs confirm specifications; BestOil.tn confirms Tunisian market price of 80 DT; BMW LL-01 noted as valid until end 2018; RacingLubes.fr confirms application for sporty engines,"DPFCompatible=No (ACEA A3/B4 high SAPS); TurboCompatible=Yes (Porsche A40, BMW LL-01, VW 502.00 all for turbo engines)",None needed,HIGH
Shell Helix Ultra Professional AV-L 0W-20,Shell,"Viscosity 0W-20; API SN; ACEA C5; OEM: VW 508.00,VW 509.00,Porsche C20; PurePlus Technology (gas-to-liquid)","Shell Livedocs TDS PDF + multiple retailer listings (Autodoc, Motominds, MyMotorWorld)",Official TDS PDF (Shell Livedocs) + Retailer cross-reference,https://www.shell-livedocs.com/data/published/en-AU/a8207b4a-73a2-4c7a-80e7-f5de4151b576.pdf,Shell Helix Ultra Professional AV-L 0W-20 TDS,VW 508.00/509.00; ACEA C5; Porsche C20,"Shell Livedocs TDS confirms VW 508.00/509.00 and ACEA C5; Autodoc.parts confirms API SN, ACEA C5, VW 508/509, Porsche C20; Motominds.de confirms VW 508.00/509.00 approval; MyMotorWorld confirms ACEA C5; EngineOilz confirms PurePlus gas-to-liquid technology",DPFCompatible=Yes (ACEA C5 is mid/low SAPS); TurboCompatible=Yes (VW 508.00 covers turbo petrol); HybridCompatible=Yes (VW 508.00 covers hybrid applications like Golf GTE),None needed,HIGH
Motul SPECIFIC 508 00/509 00 0W-20,Motul,"Viscosity 0W-20; ACEA C5; OEM: VW 508.00,VW 509.00,Porsche C20; Meets: Ford WSS-M2C955-A1; 100% Synthetic","Motul Official Product Page + TDS PDF (Motul Media CDN) + retailer (CarBoost, VelocityShop)",Official (Motul.com) + TDS PDF (Motul Media) + Retailer,https://www.motul.com/en-US/products/59310,MOTUL SPECIFIC 508 00/509 00 0W-20 - Motul Official,VW 508.00/509.00; ACEA C5; Porsche C20,Motul official page confirms 100% synthetic for VAG latest gen requiring VW 508; Motul Media TDS PDF confirms ACEA C5; CarBoost confirms VW 508/509 approval and Porsche C20; VelocityShop confirms ACEA and Porsche C20 meets; Intercars SDS confirms product code 59310,DPFCompatible=Yes (ACEA C5 mid SAPS); TurboCompatible=Yes; HybridCompatible=Yes (VW 508.00 covers hybrid),None needed,HIGH
Yacco LUBE RN-17 FE 0W-20,Yacco,Viscosity 0W-20; ACEA C5; OEM: Renault RN17 FE; 100% synthetic mid SAPS,Yacco Official Product Page + TDS PDF (Yacco Estonia) + retailer (E-Catalog),Official (Yacco.com) + TDS PDF (Yacco Estonia),https://www.yacco.com/en/our-products/automobile/lube-rn-17-fe-0w20-330,Yacco LUBE RN-17 FE 0W-20 - Yacco Official,Renault RN17 FE; ACEA C5,"Yacco official page confirms 100% synthetic, Renault RN17 FE approval, ACEA C5 specification; Yacco Estonia TDS PDF (FTE-3076) confirms all data including typical properties; E-Catalog confirms specifications; Yacco already sold in Tunisia via BestOil.tn",DPFCompatible=Yes (ACEA C5 mid SAPS); TurboCompatible=Yes (RN17 FE for direct injection turbo engines); HybridCompatible=Yes (latest gen Renault engines include hybrid variants),None needed,HIGH
Petronas Syntium 7000 RN 0W-20,Petronas,Viscosity 0W-20; ACEA C5; OEM: Renault RN17 FE; CoolTech+ technology; fully synthetic,Petronas PLI Portal + Oscaro.com listing + eBay retailer listing,"Official (Petronas PLI Portal) + Retailer (Oscaro, eBay)",https://uk.pli-petronas.com/products/petronas-syntium,Petronas Syntium Supreme 0W-20 - Petronas PLI Portal,Renault RN17 FE; ACEA C5,Petronas PLI Portal describes Syntium Supreme RN 0W-20 as advanced synthetic for direct injection turbocharged gasoline engines; Oscaro.com confirms ACEA C5 and Renault RN17 FE approvals; eBay listing confirms full product name as Syntium 7000 RN 0W-20; Petronas is official Renault F1 team oil partner adding credibility,DPFCompatible=Yes (ACEA C5 mid SAPS); TurboCompatible=Yes (designed for direct injection turbo engines); HybridCompatible=Yes (RN17 FE covers latest gen including hybrid),None needed,MEDIUM
TotalEnergies QUARTZ INEO XTRA FIRST 0W-20,TotalEnergies,Viscosity 0W-20; API SN; ACEA C5; OEM: Stellantis FPW9.55535/03; Stellantis factory fill; EURO 6d-TEMP,TotalEnergies Official Lubricants Catalog + TDS PDF (BronchiCombustibili) + Tenz.nz retailer,Official (TotalEnergies Catalog) + TDS PDF + Retailer (Tenz.nz),https://lubricants.catalog.totalenergies.com/catalog-at,QUARTZ INEO XTRA FIRST 0W-20 - TotalEnergies Official Catalog,Stellantis FPW9.55535/03; ACEA C5,"TotalEnergies official catalog confirms ACEA C5 and Stellantis factory fill application; BronchiCombustibili TDS PDF confirms API SN and full specifications; Tenz.nz confirms product details; search result confirms approved for Peugeot, Citroen, DS, and Opel (Stellantis Group) meeting EURO 6d-TEMP; TotalEnergies is strong in Tunisia market",DPFCompatible=Yes (ACEA C5 mid SAPS); TurboCompatible=Yes (Stellantis turbo engines); HybridCompatible=Yes (Stellantis hybrid variants),None needed,HIGH
